n_mfcc;delta_mode;norm_mode;n_components;covariance_type;n_mels;accuracy
2;2;2;2;diag;6;
2;2;2;2;diag;8;
2;2;2;2;diag;10;
2;2;2;2;diag;12;
2;2;2;2;diag;14;
2;2;2;2;diag;16;
2;2;2;2;diag;18;
2;2;2;2;diag;20;
2;2;2;4;full;2;
2;2;2;4;full;4;
2;2;2;4;full;6;
2;2;2;4;full;8;
2;2;2;4;full;10;
2;2;2;4;full;12;
2;2;2;4;full;14;
2;2;2;4;full;16;
2;2;2;4;full;18;
2;2;2;4;full;20;
2;2;2;4;diag;2;
2;2;2;4;diag;4;
2;2;2;4;diag;6;
2;2;2;4;diag;8;
2;2;2;4;diag;10;
2;2;2;4;diag;12;
2;2;2;4;diag;14;
2;2;2;4;diag;16;
2;2;2;4;diag;18;
2;2;2;4;diag;20;
2;2;2;8;full;2;
2;2;2;8;full;4;
2;2;2;8;full;6;
2;2;2;8;full;8;
2;2;2;8;full;10;
2;2;2;8;full;12;
2;2;2;8;full;14;
2;2;2;8;full;16;
2;2;2;8;full;18;
2;2;2;8;full;20;
2;2;2;8;diag;2;
2;2;2;8;diag;4;
2;2;2;8;diag;6;
2;2;2;8;diag;8;
2;2;2;8;diag;10;
2;2;2;8;diag;12;
2;2;2;8;diag;14;
2;2;2;8;diag;16;
2;2;2;8;diag;18;
2;2;2;8;diag;20;
2;2;2;10;full;2;
2;2;2;10;full;4;
2;2;2;10;full;6;
2;2;2;10;full;8;
2;2;2;10;full;10;
2;2;2;10;full;12;
2;2;2;10;full;14;
2;2;2;10;full;16;
2;2;2;10;full;18;
2;2;2;10;full;20;
2;2;2;10;diag;2;
2;2;2;10;diag;4;
2;2;2;10;diag;6;
2;2;2;10;diag;8;
2;2;2;10;diag;10;
2;2;2;10;diag;12;
2;2;2;10;diag;14;
2;2;2;10;diag;16;
2;2;2;10;diag;18;
2;2;2;10;diag;20;
2;2;2;12;full;2;
2;2;2;12;full;4;
2;2;2;12;full;6;
2;2;2;12;full;8;
2;2;2;12;full;10;
2;2;2;12;full;12;
2;2;2;12;full;14;
2;2;2;12;full;16;
2;2;2;12;full;18;
2;2;2;12;full;20;
2;2;2;12;diag;2;
2;2;2;12;diag;4;
2;2;2;12;diag;6;
2;2;2;12;diag;8;
2;2;2;12;diag;10;
2;2;2;12;diag;12;
2;2;2;12;diag;14;
2;2;2;12;diag;16;
2;2;2;12;diag;18;
2;2;2;12;diag;20;
2;2;2;14;full;2;
2;2;2;14;full;4;
2;2;2;14;full;6;
2;2;2;14;full;8;
2;2;2;14;full;10;
2;2;2;14;full;12;
2;2;2;14;full;14;
2;2;2;14;full;16;
2;2;2;14;full;18;
2;2;2;14;full;20;
2;2;2;14;diag;2;
2;2;2;14;diag;4;
2;2;2;14;diag;6;
2;2;2;14;diag;8;
2;2;2;14;diag;10;
2;2;2;14;diag;12;
2;2;2;14;diag;14;
2;2;2;14;diag;16;
2;2;2;14;diag;18;
2;2;2;14;diag;20;
2;2;2;16;full;2;
2;2;2;16;full;4;
2;2;2;16;full;6;
2;2;2;16;full;8;
2;2;2;16;full;10;
2;2;2;16;full;12;
2;2;2;16;full;14;
2;2;2;16;full;16;
2;2;2;16;full;18;
2;2;2;16;full;20;
2;2;2;16;diag;2;
2;2;2;16;diag;4;
2;2;2;16;diag;6;
